Date,Strategy,Equities_Return(%),Bonds_Return(%),Real_Estate_Return(%),Commodities_Return(%),Cash_Return(%),Equities_Weight(%),Bonds_Weight(%),Real_Estate_Weight(%),Commodities_Weight(%),Cash_Weight(%),Portfolio_Return(%),Portfolio_Volatility(%),SingleAsset_Volatility(%),Sharpe_Ratio
2022-01-01,Aggressive,3.3,2.46,4.12,5.42,1.52,50,15,15,15,5,3.53,10.92,13.39,0.19
2022-01-04,Growth,3.38,1.83,4.16,4.61,1.34,45,20,20,10,5,3.25,9.16,12.92,0.19
2022-01-07,Growth,5.65,3.56,7.05,1.04,1.71,45,20,20,10,5,4.85,8.98,11.69,0.37
2022-01-10,Balanced,5.58,4.17,3.51,3.28,1.04,40,30,15,10,5,4.39,5.44,6.96,0.53
2022-01-13,Aggressive,11.76,3.38,7.87,3.27,1.33,50,15,15,15,5,8.12,10.29,14.26,0.64
2022-01-16,Conservative,9.93,3.97,3.23,2.37,0.93,20,45,15,5,15,4.51,2.8,3.56,1.07
2022-01-19,Aggressive,7.56,3.09,7.17,1.98,1.03,50,15,15,15,5,5.67,8.7,12.27,0.48
2022-01-22,Aggressive,10.31,2.1,6.65,1.98,1.07,50,15,15,15,5,6.82,11.9,16.56,0.45
2022-01-25,Income,5.64,2.63,6.84,1.34,1.73,25,40,20,5,10,4.07,10.05,13.27,0.26
2022-01-28,Aggressive,5.53,4.8,7.38,2.89,1.48,50,15,15,15,5,5.1,5.96,8.79,0.6
2022-01-31,Growth,4.71,1.99,6.72,4.23,1.62,45,20,20,10,5,4.37,6.28,8.64,0.46
2022-02-03,Conservative,5.63,4.99,5.55,1.55,0.57,20,45,15,5,15,4.37,3.1,4.3,0.93
2022-02-06,Growth,10.16,2.85,5.98,3.81,0.88,45,20,20,10,5,6.76,7.53,11.16,0.7
2022-02-09,Aggressive,11.18,3.38,4.33,4.85,0.67,50,15,15,15,5,7.51,6.35,8.48,0.95
2022-02-12,Conservative,14.66,4.17,5.54,1.64,1.44,20,45,15,5,15,5.94,10.42,14.09,0.43
2022-02-15,Balanced,4.83,4.17,5.7,5.67,1.3,40,30,15,10,5,4.67,2.01,2.61,1.58
2022-02-18,Aggressive,4.34,2.77,7.93,5.84,0.86,50,15,15,15,5,4.69,4.41,6.04,0.72
2022-02-21,Aggressive,4.03,3.2,3.35,5.56,1.65,50,15,15,15,5,3.91,3.28,4.4,0.73
2022-02-24,Income,4.98,3.35,6.03,6.79,1.89,25,40,20,5,10,4.32,9.55,13.44,0.3
2022-02-27,Conservative,7.79,3.85,4.87,6.4,1.18,20,45,15,5,15,4.52,4.48,5.46,0.67
2022-03-02,Aggressive,10.06,2.31,4.1,1.43,1.45,50,15,15,15,5,6.28,4.29,6.31,1.11
2022-03-05,Conservative,3.85,2.33,6.34,2.29,0.7,20,45,15,5,15,2.99,11.36,15.58,0.13
2022-03-08,Growth,5.92,3.16,5.04,1.57,1.49,45,20,20,10,5,4.54,5.54,7.33,0.55
2022-03-11,Aggressive,11.08,4.94,3.49,3.42,1.01,50,15,15,15,5,7.37,10.62,13.54,0.55
2022-03-14,Balanced,9.44,1.99,3.92,3.78,1.81,40,30,15,10,5,5.43,2.75,3.97,1.43
2022-03-17,Income,4.17,3.78,5.7,1.09,0.64,25,40,20,5,10,3.81,9.54,12.12,0.24
2022-03-20,Growth,8.83,2.25,5.01,1.35,1.07,45,20,20,10,5,5.61,11.85,15.16,0.35
2022-03-23,Growth,6.42,3.94,6.65,5.7,1.49,45,20,20,10,5,5.65,6.87,8.64,0.6
2022-03-26,Balanced,14.62,3.53,5.71,5.49,0.59,40,30,15,10,5,8.34,7.84,10.59,0.87
2022-03-29,Income,4.89,4.86,3.4,2.11,1.39,25,40,20,5,10,4.09,8.75,11.12,0.3
2022-04-01,Aggressive,14.3,3.49,5.89,1.24,0.62,50,15,15,15,5,8.77,8.57,11.74,0.85
2022-04-04,Conservative,14.22,2.21,6.58,2.43,1.09,20,45,15,5,15,5.11,8.72,11.25,0.41
2022-04-07,Conservative,14.15,4.78,3.05,4.73,1.34,20,45,15,5,15,5.88,3.0,4.08,1.46
2022-04-10,Income,6.18,4.77,7.4,6.28,1.05,25,40,20,5,10,5.35,3.58,5.19,1.08
2022-04-13,Conservative,10.34,4.96,6.27,1.05,1.73,20,45,15,5,15,5.55,4.99,6.98,0.81
2022-04-16,Balanced,6.17,4.61,6.71,1.93,0.92,40,30,15,10,5,5.1,4.11,5.35,0.88
2022-04-19,Conservative,9.06,2.38,7.54,1.3,1.45,20,45,15,5,15,4.3,10.29,12.48,0.27
2022-04-22,Conservative,12.25,3.73,4.31,5.45,1.33,20,45,15,5,15,5.25,6.28,7.55,0.6
2022-04-25,Aggressive,14.34,3.92,3.75,1.22,1.05,50,15,15,15,5,8.56,7.53,10.01,0.94
2022-04-28,Aggressive,6.7,4.65,6.98,6.16,1.85,50,15,15,15,5,6.11,4.1,5.23,1.12
2022-05-01,Aggressive,7.24,3.46,7.37,6.84,1.62,50,15,15,15,5,6.35,11.26,14.31,0.43
2022-05-04,Balanced,14.71,4.34,7.41,1.15,1.6,40,30,15,10,5,8.49,5.32,7.87,1.31
2022-05-07,Balanced,6.2,4.26,3.54,6.23,1.79,40,30,15,10,5,5.0,4.22,6.1,0.83
2022-05-10,Growth,7.2,4.37,7.36,2.34,1.49,45,20,20,10,5,5.89,5.98,7.68,0.73
2022-05-13,Aggressive,14.6,2.48,6.21,3.4,1.97,50,15,15,15,5,9.21,7.36,10.91,1.05
2022-05-16,Aggressive,13.52,2.41,5.9,6.9,0.56,50,15,15,15,5,9.07,7.97,10.39,0.95
2022-05-19,Conservative,8.24,4.94,3.58,6.4,0.79,20,45,15,5,15,4.85,2.44,3.25,1.37
2022-05-22,Income,14.11,3.38,6.6,5.45,1.51,25,40,20,5,10,6.62,5.64,6.89,0.91
2022-05-25,Conservative,10.48,3.82,3.62,6.4,1.26,20,45,15,5,15,4.87,8.67,11.25,0.39
2022-05-28,Conservative,9.65,2.17,6.32,3.27,1.62,20,45,15,5,15,4.26,3.74,5.13,0.74
2022-05-31,Growth,9.58,1.5,4.43,3.58,1.37,45,20,20,10,5,5.92,8.55,11.45,0.52
